video_id,top1_class,top1_score
c7ef48ac4496c59fad491cb3b24cef0e,Powerbocking,0.2223
a88d408a93d95212a8f1e0b3efe4a56d,Getting a tattoo,0.2544
36c99072dc5cbbc9328973e70e7c13ca,Shaving,0.2491
7c0688d4f53128a8941f99d99d2df420,Kneeling,0.2629
5f7ebf33e7da82c43c58a058b6b3bdc1,Dodgeball,0.2424
5f0f01d91bfbef736ac1088fd85a658d,Blow-drying hair,0.2605
de3c4bdbc2eac430cdea6d5493e62a7e,Powerbocking,0.2136
45d97be1dc6ddb8b10eccc7eb1699f2c,Playing blackjack,0.2412
5be3d174337a2774c4491f6732a5cf4f,Getting a tattoo,0.2195
89918164fb106e291c4244b4166caf20,Sumo,0.2610
e4587448d3ea44df3ba3f991fd87b96e,Blow-drying hair,0.2595
7c9d6bdd71d0e2dc363f668cfc669357,Spinning,0.2816
266a01031183005a57ce1e25973eedbb,Brushing teeth,0.2535
db9fa0a132bf1c799f422c3d52fd1f36,Washing hands,0.2698
311e4d7eba1243b1c5edc2ebdd9809e3,Shaving,0.2590
19273d2366ed8c4bb0f9f1c179bc3175,Swimming,0.2883
0754a5598d81fc84d64fb2a070cd0278,Getting a tattoo,0.2240
2eaa91239c2420c5b5933ba763d3294a,Getting a haircut,0.2446
7651842195e525cb04adaea421861000,BMX,0.2840
52d2386fbae696da7d7acfaf03bd130f,Playing rubik cube,0.2367
c9ae4ac24d5f1c7dc44e846fabd6a4d4,Wrapping presents,0.2778
ef0e2377fc486d602686c33dc1f46a79,Hopscotch,0.2067
ed2759098a865b632a4a53cebad28982,Playing accordion,0.2760
6aa78384d1f94b85ebfee552b751af2a,Kneeling,0.2490
c7152deafb755553ace3883c378b1e24,Getting a tattoo,0.2160
1dce3aa6c8c0d2c394002a8b2a0ebe8e,Plataform diving,0.2240
5224deb38d43495c600f489a68674cb3,Blow-drying hair,0.2679
bbbd71a3281bb9b77ce5b77d6639bc9d,Cutting the grass,0.2845
00e787e191a9874f1ff8e17e2aa8823d,Doing nails,0.2865
c1ef857d736e78c341ee2ce70c3d56c2,Fixing bicycle,0.2918
8381cf4b278e27ee2e3a41c52cd2c49b,Powerbocking,0.2622
e1092de4e3f9ee1ba9f5954fcbe16f81,Shaving,0.2499
8cd82f18cf2f6ebb29ce35a185c071f0,Kneeling,0.2058
d22196cd9c5997aefec2a3374b75269d,Making a lemonade,0.2163
ef61c6ed97f2ff9f416a13aa2ffd2d22,Playing guitarra,0.2894
4ce0fd0a531c4be0e2e0f44299d1b84e,Hopscotch,0.2094
5ef196fd7e7113217214b69bdf8d2542,Kite flying,0.2535
92ac2e42d40292157f72db7f03089234,Throwing darts,0.2527
6cb2bed8f7ee95e63458cac339e053de,Shaving,0.2571
1dcc4c94c50256d8fbcd097ada139cc3,Braiding hair,0.2467
1f2d89946d22831975e862ce992ef98e,Shaving,0.2617
9b67b871e6a4823729920fe8449a80ef,Playing badminton,0.2237
1ce7f32a115f3f835c11daafc64bc386,Making a lemonade,0.2179
18ed08ce802cefb4be04180bce8d46f7,Playing rubik cube,0.2425
eb2d1be8fb5129fc0bab74831cd16ab5,Blow-drying hair,0.2428
f69a31f955eba5af0cada8b1c5a8eb3d,Kneeling,0.2637
4e4f5f3b81764644842b06ee51895e2f,Wrapping presents,0.2730
1ca32d688e680a61575f49474936f635,Hopscotch,0.2208
f90586d2ab30b190fa0a0aed80b4e471,Ping-pong,0.2628
2879f1fe53415b59fab0e61e7110a0f9,Riding bumper cars,0.2549
5d2de33189f475ca02919e8291f0f986,Making a lemonade,0.2273
232e3fddd2624a1b36197ddc5f75b856,Making a lemonade,0.2591
22dc2c157d8802d0c50c834477da2db6,Blowing leaves,0.3214
75c3930b25114208b4631ebb0b952699,Powerbocking,0.2464
c868f429c17c48ffdd920ec29f1f01af,Croquet,0.2171
3b95e76d0fbf5044d123624f2b4c6fd1,Wrapping presents,0.3054
7b07c07650f0e1cf40c9088b24ed956f,Sharpening knives,0.2624
13255c4825359395fc0bdc2afb510672,Kite flying,0.2406
29abd39da21712df5086030ded97a93f,Knitting,0.2979
cfec4ae671c33181e593f55eafeb2c65,Blow-drying hair,0.2645
9cddaf9c8c86e44981252472e07fbe57,Tai chi,0.2815
816a8be5a31fc8a8aebbae4eee5c0db5,Sharpening knives,0.3017
65db921e9b007c5fc21b43b064680095,Spread mulch,0.2144
9bd234ffc99c3768d76f22b970172730,Spread mulch,0.2016
77aca1ca0c88730c809c4d83e028146e,Making a lemonade,0.2376
83d3c783c7290f0fd44dab1da80cd755,Tug of war,0.2487
c4c4f79162907e2f0c84f880fa86758c,Applying sunscreen,0.2906
414e341fa8a97d1bb9dd6f3043fc28c6,Shaving,0.2607
9494ef1d118e8bc25e7738b042e9c100,Making a lemonade,0.2273
e1c576e2e5b96971d71fcf1243964cad,Powerbocking,0.2706
9cc62b5328adca47694ed8ba25c0d75f,Playing lacrosse,0.2630
24d6fed2e184a35c7b7396aec68655b1,Getting a tattoo,0.2600
042584c549345020174632479201ad02,Blow-drying hair,0.2493
e26b97b398f1122f53ed6412b8339cfc,Snatch,0.2539
325c89b1e01ad3698fae94569c7e5d45,Blow-drying hair,0.2656
252e4f1c27013479c1f2060a870f7776,Blow-drying hair,0.2650
6a6fa0414073d72b2abf9c16310df306,Spread mulch,0.1840
f7f8f8d80de25eaefa9ed8df23a68c1b,Removing ice from car,0.3327
422686ab49c09c0820cc3c40d0060e6c,Kneeling,0.2233
ad9379486de3b333eac837354e9ac41c,Blow-drying hair,0.2622
23565dfe1e50baca834735893f425d78,Playing ice hockey,0.3066
7a0edfecd9e4cdd9714ea5d86d59afe2,Kneeling,0.2390
b6f02ecd522e2c1e4e02c233c06e3611,Powerbocking,0.2654
8cb2639aedff2c1aa979e189f45268fa,Blow-drying hair,0.2472
4e6748c3644dc16ecc05b08f8aa8fae5,Blow-drying hair,0.2662
d9438ff7ca1561aeef665a097c703af5,Using the rowing machine,0.2161
95bf8a7be66b72d3181f764a65e7a4b9,Wrapping presents,0.2588
0375af8cc1adf57e2a07ee3a360fbf8e,Kneeling,0.2530
9435ae6c24b9d25dd31300b83543cb90,Kneeling,0.2692
34138fca8b565ab943702048750b2ae9,Painting furniture,0.2862
42f13c1d4ca2ea5facafcd13661c56a9,Making a lemonade,0.2290
39b3bf1f95f69d7f9e044e9a3bf304b9,Shaving,0.2617
35d6627274ffd16db79fe667e5a95969,Playing guitarra,0.2844
4d32afe1aa44afbebd9bb583fcbe78f7,Blow-drying hair,0.2641
86c5e4fc4680b945c51f0e8072c1268c,Blow-drying hair,0.2448
8b03c9399c3d9a80544d1d2a1228f2f3,Changing car wheel,0.2919
693113ef0930e0ee45ae3773a53b233c,Blow-drying hair,0.2621
aa68c54320e2934d148bd8806355ab89,Shaving,0.2504
65a3b117d05cffda63728e812bba495c,Playing rubik cube,0.2312
8327731f619e456c2e7a208d5c16509c,Hopscotch,0.2187
f7a99ac412d8bed2e927fb633318d8f1,Powerbocking,0.2586
f03e710876ba806c8616779c5095683f,Hopscotch,0.2426
7d397ae6620007acd398415152bc7ae8,Playing rubik cube,0.2517
1958f8e5f4abd39d2bfa7073ec8ed04a,Snatch,0.2516
2e6315c2506aabcac1b3f19f91205711,Knitting,0.2709
88e860bcc28b02c681b9b834fce003e3,Kneeling,0.2453
15c0e39b7da9adebc6c92ee543be019a,Shaving legs,0.3343
016faafd7bd49b16bf68d485a0b2bc9e,Getting a tattoo,0.2524
a58360f9851944e4d8582743e99fd77d,Putting in contact lenses,0.2630
413fce5675f86fa2c4f5699a89922862,Blow-drying hair,0.2692
81f227ad4bce507e68b0ffc1d3bfe371,Snatch,0.2478
